Название,Цена
Vinga Iron S140 (S140-P508256G),9 527
"Apple MacBook Pro 15"" with Retina display (MJLQ2) 2015",46 642
"Apple MacBook Air 13"" Gold 2019 (MVFM2)",27 080
Xiaomi Mi Notebook Pro 15.6 Intel Core i7 16/512Gb/MX250 2019 Dark Grey...,31 246
ASUS ZenBook 14 UX434FL Blue (UX434FL-AI114T),30 336
Acer Predator Helios 300 PH315-51-71FS (NH.Q3FAA.007),25 632
Dell Inspiron 15 5591 (N25591DSWFH),23 694
HP 15-db1080ur Black (7NF03EA),11 987
ASUS ROG Strix Scar Edition GL703GE (GL703GE-IS74),29 057
"Apple MacBook Pro 13"" Silver 2019 (MUHQ2)",36 016
"Apple MacBook Pro 15"" Space Gray 2018 (MR932, 5R932)",57 665
Xiaomi RedmiBook 14 Ryzen 7 16/512GB Radeon Vega 8 Silver (JYU4209CN),20 076
ASUS Zephyrus G GA502DU (GA502DU-BR7N6),30 231
ASUS M509DA (M509DA-EJ347),11 380
"Apple MacBook Pro 15"" Space Gray 2019 (MV902)",59 560
Google Pixelbook Go (GA00519-US),12 564
ASUS X509FJ Silver (X509FJ-EJ151),13 540
"Apple MacBook Pro 15"" Space Gray 2019 (MV912)",71 245
Xiaomi Mi Gaming Laptop 15.6 Black (JYU4146CN),30 654
HP Pavilion 15-cs3064ur Silver (9RJ96EA),15 996
Alienware m15 R2 (wnm15r210s),29 674
Xiaomi RedmiBook 14 i5 10th 8/512Gb/MX250 Silver (JYU4165CN),18 603
ASUS ROG Strix G G531GV Black (G531GV-AL022),39 187
ASUS ZenBook 14 UM433DA Icicle Silver (UM433DA-A5013),"23 399,00 грн"
Acer Swift 3 SF314-42 Silver (NX.HSEEU.00M),24 470
Vinga Iron S140 (S140-P508256G),9 527
"Apple MacBook Air 13"" Silver 2019 (MVFK2)",26 766
Dell G3 15 3590 (GNSLK5CRG306S),"25 465,00 грн"
"Apple MacBook Air 13"" Silver 2020 (MVH42)",39 205
